name,link,affiliations,interests,email,cited_by_count
Krzysztof Sosnica,https://scholar.google.com/citations?hl=en&user=6sfRE1IAAAAJ,"… of Geodesy and Geoinformatics, Wroclaw University of Environmental and Life Sciences","['multi-GNSS', 'Satellite Geodesy', 'Orbit Determination', 'Reference Frames', 'Satellite Laser Ranging']",Verified email at igig.up.wroc.pl,5133
Jacek Bania,https://scholar.google.com/citations?hl=en&user=q8tTu5YAAAAJ,Wrocław University of Environmental and Life Sciences,,Verified email at upwr.edu.pl,5054
Cezary Kabała,https://scholar.google.com/citations?hl=en&user=xt77s0wAAAAJ,Wroclaw University of Environmental and Life Sciences,,Verified email at up.wroc.pl,4848
Ryszard Deszcz,https://scholar.google.com/citations?hl=en&user=KL25liUAAAAJ,"Department of Mathematics, Wroclaw University of Environmental and Life Sciences …","['differential geometry', 'relativity and gravitational theory']",Verified email at upwr.edu.pl,4340
Anna Karczewska,https://scholar.google.com/citations?hl=en&user=NtgKHujaiusC,"… and environmentlal protection, Wrocław University of Environmental and Life Sciences,","['soil', 'contamination', 'remediation', 'environmental risk assessment', 'ecotoxicology']",Verified email at upwr.edu.pl,3880
Jan K. Kazak,https://scholar.google.com/citations?hl=en&user=fBHyzZQAAAAJ,Wrocław University of Environmental and Life Sciences,,Verified email at upwr.edu.pl,3062
Andrzej Białowiec,https://scholar.google.com/citations?hl=en&user=wOpYfsQAAAAJ,"Wrocław University of Environmental and Live Sciences, The Faculty of Life Sciences and …","['Waste management', 'Constructed wetlands', 'Phytotoxicology', 'Phytoremediation', 'Waste biodrying']",Verified email at upwr.edu.pl,2052
Zbigniew Lazar,https://scholar.google.com/citations?hl=en&user=oldWCXEAAAAJ,Wroclaw University of Environmental and Life Sciences,"['Biotechnology', 'Microbiology', 'Glycobiology']",Verified email at upwr.edu.pl,1961
Jarosław Bosy,https://scholar.google.com/citations?hl=en&user=X11Z9rIAAAAJ,Wroclaw University of Environmental and Life Sciences,['GNSS'],Verified email at up.wroc.pl,1950
Joanna Kolniak-Ostek,https://scholar.google.com/citations?hl=en&user=OQhK4NwAAAAJ,Wrocław University of Environmental and Life Sciences,"['polifenolics', 'mass spectrometry']",Verified email at upwr.edu.pl,1785
