"","format_pub"
"1","Magnucka, EG., Kulczycki, G., Oksińska, MP., Kucińska, J., Pawęska, K., Milo, Ł., & ... (2023). The Effect of Various Forms of Sulfur on Soil Organic Matter Fractions and Microorganisms in a Pot Experiment with Perennial Ryegrass (Lolium perenne L.). *Plants*. 12 (14), 2649"
"2","Kulczycki, G., Sacała, E., Koszelnik-Leszek, A., & Milo, Ł. (2023). Perennial Ryegrass (Lolium perenne L.) Response to Different Forms of Sulfur Fertilizers. *Agriculture*. 13 (9), 1773"
"3","Januszkiewicz, R., Kulczycki, G., & Samoraj, M. (2023). Foliar Fertilization of Crop Plants in Polish Agriculture. *Agriculture*. 13 (9), 1715"
"4","Kulczycki, G., Sacała, E., Chohura, P., & Załuska, J. (2022). Maize and wheat response to drought stress under varied sulphur fertilisation. *Agronomy*. 12 (5), 1076"
"5","Marczak, D., Lejcuś, K., Kulczycki, G., & Misiewicz, J. (2022). Towards circular economy: Sustainable soil additives from natural waste fibres to improve water retention and soil fertility. *Science of the Total Environment*. 844, 157169"
"6","Kulczycki, G., Sacała, E., Chohura, P., & Załuska, J. (2022). Maize and Wheat Response to Drought Stress under Varied Sulphur Fertilisation. Agronomy 2022, 12, 1076. *Plant Responses to Stress and Environmental Stimulus*. 127"
"7","Kulczycki, G. (2021). The effect of elemental sulfur fertilization on plant yields and soil properties. *Advances in Agronomy*. 167, 105-181"
"8","Kulczycki, G., Magnucka, EG., Oksińska, MP., Kucińska, J., Kobyłecki, R., & ... (2020). The Effect of Various Types of Biochar Mixed with Mineral Fertilization on the Development and Ionome of Winter Wheat (Triticum aestivum L.) Seedlings and Soil …. *Agronomy*. 10 (12), 1903"
"9","Kulczycki, G., & Sacała, E. (2020). Sulfur application alleviates chromium stress in maize and wheat. *Open Chemistry*. 18 (1), 1093-1104"
"10","Sacała, E., & Kulczycki, G. (2020). Sulfur application alleviates chromium stress in maize and wheat.. **. "
"11","Kulczycki, G. (2015). Wpływ nawożenia siarką elementarną na plon roślin i właściwości gleb. *Wydawnictwo Uniwersytetu Przyrodniczego*. "
"12","Kulczycki, G., Grocholski, P., Stepien, P., & Michalski, A. (2015). Comparison of the variable potassium fertilization on light and heavy soils. *Open Chemistry*. 13 (1), 000010151520150130"
"13","Szydelko-Rabska, E., Kulczycki, G., & Sowinski, J. (2014). Impact of different forms of nitrogen fertilizer on the content and uptake of microelements in sorghum. *Journal of Elementology*. 19 (2)"
"14","Kulczycki, G., & Koronczok, J. (2014). Nawożenie zmiennymi dawkami fosforu i potasu buraka cukrowego. *Burak Cukrowy*. "
"15","Kulczycki, G., & Grocholski, P. (2013). The effect of long-term phosphorus and potassium precision fertilization. *Precision agriculture ’*. ’13, 395-401"
"16","Kulczycki, G. (2012). The effect of phosphorus and potassium precision fertilization upon changes in the content of the soluble form of these elements in soil.. *Fragmenta Agronomica*. 29 (1), 70-82"
"17","Bielecki, K., & Kulczycki, G. (2012). Modification of Butters-Chenery method for determination of total sulfur in plants and soil. *Przem. Chem*. 91 (5), 688-691"
"18","Kulczycki, G. (2012). Wpływ precyzyjnego nawożenia fosforem i potasem na zmiany zawartości rozpuszczalnych form tych pierwiastków w glebie. *Fragmenta Agronomica*. 70–82"
"19","BielecKi, K., & KulczycKi, GG. (2012). Modyfikacja metody Buttersa i Cheneryego oznaczania siarki ogólnej w roślinach i glebie. *Przemysł Chemiczny*. 688-691"
"20","Grzyś, E., Demczuk, A., Sacała, E., & Kulczycki, G. (2012). Effect of retardants on blade growth and content of microelements (Fe, Mn, Zn, Cu) in the grain and stalks of spring wheat cultivars.. *Zeszyty Naukowe Uniwersytetu Przyrodniczego we Wrocławiu-Rolnictwo*. 102 (588 …"
"21","Grzyś, E., Demczuk, A., Sacała, E., & Kulczycki, G. (2012). Effect of retardants on the content of selected macroelements in winter wheat cultivars Wpływ retardantów na zawartość wybranych makroelementów u odmian pszenicy ozimej. *PROGRESS IN PLANT PROTECTION/POSTĘPY W OCHRONIE ROŚLIN*. 52 (4), 893-897"
"22","Grzys, E., Demczuk, A., Sacala, E., & Kulczycki, G. (2012). Effect of retardants on the content of selected macroelements in winter wheat cultivars. *Progress in Plant Protection*. 4 (52)"
"23","Grzyś, E., Demczuk, A., Sacała, E., Kulczycki, G., gROWth, EECORON BLADE., & ... (2012). Wpływ retardantów na wzrost źdźbła. *Zeszyty Naukowe Uniwersytetu Przyrodniczego we Wrocławiu*. 588 (CII), 67-73"
"24","Kulczycki, G. (2011). The effect of soil and foliar sulphur application on winter wheat yield and soil properties. *Fertilizers and Fertilization*. 43, 21-28"
"25","Kulczycki, G. (2011). Żyto potrzebuje wczesnej dawki azotu na wiosnę. *Top Agrar Polska*. "
"26","GEDIGA, K., SPIAK, Z., PISZCZ, U., PATORCZYK–PYTLIK, B., & KULCZYCKI, G. (2011). Suitability of selected soil extraction solutions for available zinc content of the soils from lower Silesia Province in Poland. **. 3rd International Zinc Symposium Hyderabad, India, 10-14 October"
"27","Spiak, Z., & Kulczycki, G. (2010). Nawozy mineralne zrodlem skladnikow pokarmowych. *Top Agrar Polska*. 104-106"
"28","Patorczyk-Pytlik, B., & Kulczycki, G. (2009). Content of selenium in arable soils near Wroclaw. *Journal of Elementology*. 14 (4), 755-762"
"29","Kulczycki, G., Januszkiewicz, R., & Jachymczak, A. (2009). The effect of foliar applied fertilizer Ekolist on the yield and chemical composition of spring wheat. *ZESZYTY NAUKOWE UNIWERSYTETU PRZYRODNICZEGO WE WROCŁAWIU*. 574, 19-28"
"30","Kulczycki, G., Januszkiewicz, R., & Jachymczak, A. (2009). Wpływ dolistnego nawożenia fosforem z dodatkiem mikroelementów na plon i skład chemiczny pszenicy jarej. *Zeszyty Problemowe Postępów Nauk Rolniczych*. 2 (541)"
