"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Khurana M.P.S.; Sadana U.S.; Bijay-Singh","Khurana, M.P.S. (23477791200); Sadana, U.S. (6602915946); Bijay-Singh (13614227300)","23477791200; 6602915946; 13614227300","Sulfur nutrition of crops in the indo-gangetic plains of South Asia","2015","Sulfur: A Missing Link between Soils, Crops, and Nutrition","","","","11","24","13","15","10.2134/agronmonogr50.c2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102994077&doi=10.2134%2fagronmonogr50.c2&partnerID=40&md5=6a267a16911fe22a1a766d92c20a4412","Book chapter","Final","","Scopus","2-s2.0-85102994077"
"Bouranis D.L.; Chorianopoulou S.N.; Margetis M.; Saridis G.I.; Sigalas P.P.","Bouranis, Dimitris L. (6603695838); Chorianopoulou, Styliani N. (55399623800); Margetis, Miltiadis (57200538682); Saridis, Georgios I. (57200545314); Sigalas, Petros P. (57200546985)","6603695838; 55399623800; 57200538682; 57200545314; 57200546985","Effect of elemental sulfur as fertilizer ingredient on the mobilization of iron from the iron pools of a calcareous soil cultivated with durum wheat and the crop’s iron and sulfur nutrition","2018","Agriculture (Switzerland)","8","2","20","","","","12","10.3390/agriculture8020020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041577183&doi=10.3390%2fagriculture8020020&partnerID=40&md5=8176691c56739b5d4ddd7c0b08628c7b","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85041577183"
"Tea I.; Genter T.; Naulet N.; Boyer V.; Lummerzheim M.; Kleiber D.","Tea, I. (22935891400); Genter, T. (6506256068); Naulet, N. (6603411872); Boyer, V. (56212700600); Lummerzheim, M. (6507450971); Kleiber, D. (6603955255)","22935891400; 6506256068; 6603411872; 56212700600; 6507450971; 6603955255","Effect of foliar sulfur and nitrogen fertilization on wheat storage protein composition and dough mixing properties","2004","Cereal Chemistry","81","6","","759","766","7","44","10.1094/CCHEM.2004.81.6.759","https://www.scopus.com/inward/record.uri?eid=2-s2.0-9944259517&doi=10.1094%2fCCHEM.2004.81.6.759&partnerID=40&md5=6ff42b48822b4ff22684e8da045ba31c","Article","Final","","Scopus","2-s2.0-9944259517"
"Bouranis D.L.; Gasparatos D.; Zechmann B.; Bouranis L.D.; Chorianopoulou S.N.","Bouranis, Dimitris L. (6603695838); Gasparatos, Dionisios (8255558800); Zechmann, Bernd (7801355637); Bouranis, Lampros D. (56083652500); Chorianopoulou, Styliani N. (55399623800)","6603695838; 8255558800; 7801355637; 56083652500; 55399623800","The effect of granular commercial fertilizers containing elemental sulfur on wheat yield under mediterranean conditions","2019","Plants","8","1","2","","","","11","10.3390/plants8010002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060257242&doi=10.3390%2fplants8010002&partnerID=40&md5=1c979e1932773aa27b444f71aaba09f0","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85060257242"
"Grant C.A.; Johnston A.M.; Clayton G.W.","Grant, C.A. (7402511632); Johnston, A.M. (7401753326); Clayton, G.W. (7103032675)","7402511632; 7401753326; 7103032675","Sulphur fertilizer and tillage management of canola and wheat in western Canada","2004","Canadian Journal of Plant Science","84","2","","453","462","9","26","10.4141/P02-083","https://www.scopus.com/inward/record.uri?eid=2-s2.0-3342970542&doi=10.4141%2fP02-083&partnerID=40&md5=3d85a9736acead000087fe4ea7aa4fe3","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-3342970542"
"Saifullah; Khan M.N.; Iqbal M.; Naeem A.; Bibi S.; Waraich E.A.; Dahlawi S.","Saifullah (57193672052); Khan, Muhammad Naeem (58263454000); Iqbal, Muhammad (57207810510); Naeem, Asif (37122502200); Bibi, Sadia (57524553300); Waraich, Ejaz Ahmad (24462594100); Dahlawi, Saad (57189234459)","57193672052; 58263454000; 57207810510; 37122502200; 57524553300; 24462594100; 57189234459","Elemental sulfur improves growth and phytoremediative ability of wheat grown in lead-contaminated calcareous soil","2016","International Journal of Phytoremediation","18","10","","1022","1028","6","22","10.1080/15226514.2016.1146226","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976321911&doi=10.1080%2f15226514.2016.1146226&partnerID=40&md5=a5f7ff23aab1462d9eeae8b55a9b6786","Article","Final","","Scopus","2-s2.0-84976321911"
"Kulczycki G.","Kulczycki, Grzegorz (35750125400)","35750125400","The effect of elemental sulfur fertilization on plant yields and soil properties","2021","Advances in Agronomy","167","","","105","181","76","21","10.1016/bs.agron.2020.12.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099923761&doi=10.1016%2fbs.agron.2020.12.003&partnerID=40&md5=c16c608b41d2366400d3c76344010ef4","Book chapter","Final","","Scopus","2-s2.0-85099923761"
"Oates Kenneth M.; Kamprath E.J.","Oates, Kenneth M. (7006476023); Kamprath, E.J. (6602814621)","7006476023; 6602814621","SULFUR FERTILIZATION OF WINTER WHEAT GROWN ON DEEP SANDY SOILS.","1985","Soil Science Society of America Journal","49","4","","925","927","2","17","10.2136/sssaj1985.03615995004900040027x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022092746&doi=10.2136%2fsssaj1985.03615995004900040027x&partnerID=40&md5=d78b36c1ecb20c4d34c0cb5c6e50e040","Article","Final","","Scopus","2-s2.0-0022092746"
"Grant C.A.; Clayton G.W.; Johnston A.M.","Grant, C.A. (7402511632); Clayton, G.W. (7103032675); Johnston, A.M. (7401753326)","7402511632; 7103032675; 7401753326","Sulphur fertilizer and tillage effects on canola seed quality in the Black soil zone of western Canada","2003","Canadian Journal of Plant Science","83","4","","745","758","13","36","10.4141/P02-107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542443311&doi=10.4141%2fP02-107&partnerID=40&md5=40cbd88f2f24e2aa31f6aacd4d794767","Article","Final","","Scopus","2-s2.0-1542443311"
"Cakmak D.; Blagojevic S.; Stevanovic D.; Jakovljevic M.; Mrvic V.","Cakmak, D. (24464911000); Blagojevic, S. (6701349585); Stevanovic, D. (15030295300); Jakovljevic, M. (7005875601); Mrvic, V. (22985755500)","24464911000; 6701349585; 15030295300; 7005875601; 22985755500","Effect of sulphur fertilization on wheat yield and on nutrient grain content on chernozem in Serbia","2009","Agrochimica","53","2","","92","100","8","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-69249161956&partnerID=40&md5=21df568a87d854471e860b798d81dbdf","Article","Final","","Scopus","2-s2.0-69249161956"
