profil,tytul,stanowisko,jednostka,wydzial,orcid,scopus_id,polon_id,researcharea,h_index_scopus,h_index_wos,sum_IF,sum_SNIP,sum_MEiN,n_pub,author_id,url,uczelnia,stanowisko_raw
Arkadiusz Artyszak,dr hab. inż.,profesor uczelni,Katedra Agronomii,NA,0000-0002-0272-1536,NA,NA,NA,14,11,78.268,20.991,NA,759,WULS712b02319ba341779b4be38450fdec6f,https://bw.sggw.edu.pl/info/author/WULS712b02319ba341779b4be38450fdec6f?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Katarzyna Bączek,prof. dr hab. inż.,profesor,Katedra Roślin Warzywnych i Leczniczych,NA,0000-0003-3061-6474,NA,NA,NA,19,19,127.802,33.069,NA,110,WULSb9bbf3d0103341a0bd49c93ac85c9a73,https://bw.sggw.edu.pl/info/author/WULSb9bbf3d0103341a0bd49c93ac85c9a73?lang=pl&r=publication&tab=main,sggw,Profesor
Jakub Bojanowski,mgr inż.,asystent,Katedra Ochrony Środowiska i Dendrologii,NA,NA,NA,NA,NA,1,1,4.8,NA,NA,4,WULS9eeb7bd220a748d5bc748162f347f216,https://bw.sggw.edu.pl/info/author/WULS9eeb7bd220a748d5bc748162f347f216?lang=pl&r=publication&tab=main,sggw,Asystent
Kamila Bokszczanin,dr inż.,adiunkt,Katedra Sadownictwa i Ekonomiki Ogrodnictwa,NA,0000-0003-1130-2904,NA,NA,NA,7,8,40.182,11.19,NA,45,WULSe61be6086beb4838b6d98cf098f8c0a0,https://bw.sggw.edu.pl/info/author/WULSe61be6086beb4838b6d98cf098f8c0a0?lang=pl&r=publication&tab=main,sggw,Adiunkt
Barbara Borawska-Jarmułowicz,dr hab. inż.,adiunkt,Katedra Agronomii,NA,0000-0001-7092-6544,NA,NA,NA,7,9,46.534,14.619,NA,48,WULS3b28e4ce5d80454bb56d782c50925741,https://bw.sggw.edu.pl/info/author/WULS3b28e4ce5d80454bb56d782c50925741?lang=pl&r=publication&tab=main,sggw,Adiunkt
Anna Chodkiewicz,dr,adiunkt,Katedra Agronomii,NA,0000-0003-3234-5049,NA,NA,NA,1,3,21.706,6.475,NA,20,WULS114728c9912c482f8d33f6139be9d5e8,https://bw.sggw.edu.pl/info/author/WULS114728c9912c482f8d33f6139be9d5e8?lang=pl&r=publication&tab=main,sggw,Adiunkt
Józef Chojnicki,prof. dr hab. inż.,profesor,Katedra Gleboznawstwa,NA,0000-0001-7719-4331,NA,NA,NA,3,4,16.132,8.47,NA,59,WULS99149d605ca0450390183a97e96f9e23,https://bw.sggw.edu.pl/info/author/WULS99149d605ca0450390183a97e96f9e23?lang=pl&r=publication&tab=main,sggw,Profesor
Katarzyna Chwedorzewska,prof. dr hab.,profesor,Katedra Botaniki i Fizjologii Roslin,NA,0000-0001-6860-3666,NA,NA,NA,24,22,123.031,51.304,NA,60,WULS03b11b15b3154ba29f37fa236b47c658,https://bw.sggw.edu.pl/info/author/WULS03b11b15b3154ba29f37fa236b47c658?lang=pl&r=publication&tab=main,sggw,Profesor
Magdalena Cieplak,dr,adiunkt,"Katedra Genetyki, Hodowli i Biotechnologii Roślin",NA,0000-0001-8705-3065,NA,NA,NA,1,5,35.286,3.988,NA,10,WULS90e86c4576f349ffa1c8e65423e8642a,https://bw.sggw.edu.pl/info/author/WULS90e86c4576f349ffa1c8e65423e8642a?lang=pl&r=publication&tab=main,sggw,Adiunkt
Piotr Dąbrowski,prof. dr hab. inż.,profesor,Katedra Kształtowania Środowiska i Teledetekcji,NA,0000-0002-2867-8839,NA,NA,NA,17,16,123.48,31.527,NA,72,WULSb247bd3204ca468a99c4a5b4af0f7e32,https://bw.sggw.edu.pl/info/author/WULSb247bd3204ca468a99c4a5b4af0f7e32?lang=pl&r=publication&tab=main,sggw,Profesor
Adriana Derejko,dr inż.,adiunkt,Katedra Biometrii,NA,0000-0002-6623-0656,NA,NA,NA,6,6,25.991,7.618,NA,24,WULSd1c55efc2a3041d680b24b80b8480ee2,https://bw.sggw.edu.pl/info/author/WULSd1c55efc2a3041d680b24b80b8480ee2?lang=pl&r=publication&tab=main,sggw,Adiunkt
