profil,tytul,stanowisko,jednostka,wydzial,orcid,scopus_id,polon_id,researcharea,h_index_scopus,h_index_wos,sum_IF,sum_SNIP,sum_MEiN,n_pub,author_id,url,uczelnia,stanowisko_raw,if_per_pub,mein_per_pub,if_to_mein,n_pub_oa,mean_fwci,avg_authors_per_pub,h_index_oa,cited_total,n_unique_coauthors,fwci_top10_pct,kategoria
Arkadiusz Artyszak,dr hab. inż.,profesor uczelni,Katedra Agronomii,NA,0000-0002-0272-1536,NA,NA,NA,14,11,78.268,20.991,NA,759,WULS712b02319ba341779b4be38450fdec6f,https://bw.sggw.edu.pl/info/author/WULS712b02319ba341779b4be38450fdec6f?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni,0.10311989459815547,NA,NA,NA,NA,NA,NA,NA,NA,NA,A
Katarzyna Bączek,prof. dr hab. inż.,profesor,Katedra Roślin Warzywnych i Leczniczych,NA,0000-0003-3061-6474,NA,NA,NA,19,19,127.802,33.069,NA,110,WULSb9bbf3d0103341a0bd49c93ac85c9a73,https://bw.sggw.edu.pl/info/author/WULSb9bbf3d0103341a0bd49c93ac85c9a73?lang=pl&r=publication&tab=main,sggw,Profesor,1.1618363636363638,NA,NA,92,1.68829010989011,5.304347826086956,20,1319,97,FALSE,A
Jakub Bojanowski,mgr inż.,asystent,Katedra Ochrony Środowiska i Dendrologii,NA,NA,NA,NA,NA,1,1,4.8,NA,NA,4,WULS9eeb7bd220a748d5bc748162f347f216,https://bw.sggw.edu.pl/info/author/WULS9eeb7bd220a748d5bc748162f347f216?lang=pl&r=publication&tab=main,sggw,Asystent,1.2,NA,NA,2,0.74865,3.5,1,5,5,FALSE,A
Kamila Bokszczanin,dr inż.,adiunkt,Katedra Sadownictwa i Ekonomiki Ogrodnictwa,NA,0000-0003-1130-2904,NA,NA,NA,7,8,40.182,11.19,NA,45,WULSe61be6086beb4838b6d98cf098f8c0a0,https://bw.sggw.edu.pl/info/author/WULSe61be6086beb4838b6d98cf098f8c0a0?lang=pl&r=publication&tab=main,sggw,Adiunkt,0.8929333333333334,NA,NA,36,1.979167425483871,7.055555555555555,9,556,53,FALSE,A
Barbara Borawska-Jarmułowicz,dr hab. inż.,adiunkt,Katedra Agronomii,NA,0000-0001-7092-6544,NA,NA,NA,7,9,46.534,14.619,NA,48,WULS3b28e4ce5d80454bb56d782c50925741,https://bw.sggw.edu.pl/info/author/WULS3b28e4ce5d80454bb56d782c50925741?lang=pl&r=publication&tab=main,sggw,Adiunkt,0.9694583333333333,NA,NA,38,1.262686842105263,3.8684210526315788,10,312,56,FALSE,A
Anna Chodkiewicz,dr,adiunkt,Katedra Agronomii,NA,0000-0003-3234-5049,NA,NA,NA,1,3,21.706,6.475,NA,20,WULS114728c9912c482f8d33f6139be9d5e8,https://bw.sggw.edu.pl/info/author/WULS114728c9912c482f8d33f6139be9d5e8?lang=pl&r=publication&tab=main,sggw,Adiunkt,1.0853,NA,NA,18,2.329664705882353,5.777777777777778,4,334,64,FALSE,A
Józef Chojnicki,prof. dr hab. inż.,profesor,Katedra Gleboznawstwa,NA,0000-0001-7719-4331,NA,NA,NA,3,4,16.132,8.47,NA,59,WULS99149d605ca0450390183a97e96f9e23,https://bw.sggw.edu.pl/info/author/WULS99149d605ca0450390183a97e96f9e23?lang=pl&r=publication&tab=main,sggw,Profesor,0.27342372881355936,NA,NA,1,0.539,2,1,1,1,FALSE,A
Katarzyna Chwedorzewska,prof. dr hab.,profesor,Katedra Botaniki i Fizjologii Roslin,NA,0000-0001-6860-3666,NA,NA,NA,24,22,123.031,51.304,NA,60,WULS03b11b15b3154ba29f37fa236b47c658,https://bw.sggw.edu.pl/info/author/WULS03b11b15b3154ba29f37fa236b47c658?lang=pl&r=publication&tab=main,sggw,Profesor,2.0505166666666668,NA,NA,83,1.9903922077922078,5.590361445783133,26,1649,108,FALSE,A
Magdalena Cieplak,dr,adiunkt,"Katedra Genetyki, Hodowli i Biotechnologii Roślin",NA,0000-0001-8705-3065,NA,NA,NA,1,5,35.286,3.988,NA,10,WULS90e86c4576f349ffa1c8e65423e8642a,https://bw.sggw.edu.pl/info/author/WULS90e86c4576f349ffa1c8e65423e8642a?lang=pl&r=publication&tab=main,sggw,Adiunkt,3.5286,NA,NA,14,1.214723076923077,11.071428571428571,6,73,81,FALSE,A
Piotr Dąbrowski,prof. dr hab. inż.,profesor,Katedra Kształtowania Środowiska i Teledetekcji,NA,0000-0002-2867-8839,NA,NA,NA,17,16,123.48,31.527,NA,72,WULSb247bd3204ca468a99c4a5b4af0f7e32,https://bw.sggw.edu.pl/info/author/WULSb247bd3204ca468a99c4a5b4af0f7e32?lang=pl&r=publication&tab=main,sggw,Profesor,1.715,NA,NA,95,2.1483549450549453,8.705263157894738,20,2053,185,FALSE,A
Adriana Derejko,dr inż.,adiunkt,Katedra Biometrii,NA,0000-0002-6623-0656,NA,NA,NA,6,6,25.991,7.618,NA,24,WULSd1c55efc2a3041d680b24b80b8480ee2,https://bw.sggw.edu.pl/info/author/WULSd1c55efc2a3041d680b24b80b8480ee2?lang=pl&r=publication&tab=main,sggw,Adiunkt,1.0829583333333332,NA,NA,27,1.0756192307692307,5.074074074074074,7,126,33,FALSE,A
Beata Fornal-Pieniak,dr hab.,profesor uczelni,Katedra Ochrony Środowiska i Dendrologii,NA,0000-0002-3834-1105,NA,NA,NA,8,7,90.361,13.885,NA,159,WULS358f2d8653f14320a5c27fadbdcc0d17,https://bw.sggw.edu.pl/info/author/WULS358f2d8653f14320a5c27fadbdcc0d17?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni,0.568308176100629,NA,NA,97,0.6575114583333334,3,8,258,59,FALSE,A
Janina Gajc-Wolska,prof. dr hab.,profesor,Katedra Roślin Warzywnych i Leczniczych,NA,0000-0003-4237-5575,NA,NA,NA,12,11,87.733,34.748,NA,83,WULS6bccb735e7a442d6a7b656f44613d95a,https://bw.sggw.edu.pl/info/author/WULS6bccb735e7a442d6a7b656f44613d95a?lang=pl&r=publication&tab=main,sggw,Profesor,1.0570240963855422,NA,NA,1,0,8,0,0,7,FALSE,A
Marta Galas,mgr,asystent,Katedra Biochemii i Mikrobiologii,NA,0009-0009-5235-6782,NA,NA,NA,1,1,17.4,0.15,NA,5,WULS36fc214444b042ca8e3a7a13a26a4b45,https://bw.sggw.edu.pl/info/author/WULS36fc214444b042ca8e3a7a13a26a4b45?lang=pl&r=publication&tab=main,sggw,Asystent,3.4799999999999995,NA,NA,3,0.22643333333333335,5.333333333333333,1,3,11,FALSE,A
Anna Geszprych,dr,adiunkt,Katedra Roślin Warzywnych i Leczniczych,NA,0000-0003-0102-7136,NA,NA,NA,6,5,32.36,9.441,NA,39,WULS44a8b19c422d44dab414bf7723f36b01,https://bw.sggw.edu.pl/info/author/WULS44a8b19c422d44dab414bf7723f36b01?lang=pl&r=publication&tab=main,sggw,Adiunkt,0.8297435897435897,NA,NA,49,0.5030632653061224,4.448979591836735,9,256,61,FALSE,A
