author_a,author_b,weight
https://openalex.org/A5000000336,https://openalex.org/A5073755365,3
https://openalex.org/A5000002834,https://openalex.org/A5083749002,1
https://openalex.org/A5000004714,https://openalex.org/A5002704106,4
https://openalex.org/A5000004714,https://openalex.org/A5012059122,16
https://openalex.org/A5000004714,https://openalex.org/A5021936499,2
https://openalex.org/A5000004714,https://openalex.org/A5023167259,9
https://openalex.org/A5000004714,https://openalex.org/A5023396726,1
https://openalex.org/A5000004714,https://openalex.org/A5023633807,1
https://openalex.org/A5000004714,https://openalex.org/A5024115689,1
https://openalex.org/A5000004714,https://openalex.org/A5025438727,2
https://openalex.org/A5000004714,https://openalex.org/A5026554389,1
https://openalex.org/A5000004714,https://openalex.org/A5027846011,1
https://openalex.org/A5000004714,https://openalex.org/A5034485016,1
https://openalex.org/A5000004714,https://openalex.org/A5038631011,3
https://openalex.org/A5000004714,https://openalex.org/A5042843749,21
https://openalex.org/A5000004714,https://openalex.org/A5043661547,1
https://openalex.org/A5000004714,https://openalex.org/A5046094993,1
https://openalex.org/A5000004714,https://openalex.org/A5048558793,17
https://openalex.org/A5000004714,https://openalex.org/A5050415640,1
https://openalex.org/A5000004714,https://openalex.org/A5050908343,2
https://openalex.org/A5000004714,https://openalex.org/A5052113961,2
https://openalex.org/A5000004714,https://openalex.org/A5055714864,1
https://openalex.org/A5000004714,https://openalex.org/A5057080800,1
https://openalex.org/A5000004714,https://openalex.org/A5059610612,1
https://openalex.org/A5000004714,https://openalex.org/A5061160921,3
https://openalex.org/A5000004714,https://openalex.org/A5065799758,1
https://openalex.org/A5000004714,https://openalex.org/A5071448709,1
https://openalex.org/A5000004714,https://openalex.org/A5073149875,19
https://openalex.org/A5000004714,https://openalex.org/A5075507345,1
https://openalex.org/A5000004714,https://openalex.org/A5075634903,3
https://openalex.org/A5000004714,https://openalex.org/A5078008425,3
https://openalex.org/A5000004714,https://openalex.org/A5080850875,2
https://openalex.org/A5000004714,https://openalex.org/A5086503707,2
https://openalex.org/A5000004714,https://openalex.org/A5087611262,1
https://openalex.org/A5000004714,https://openalex.org/A5088466739,1
https://openalex.org/A5000004714,https://openalex.org/A5111976849,15
https://openalex.org/A5000004714,https://openalex.org/A5112989754,6
https://openalex.org/A5000017909,https://openalex.org/A5068916511,1
https://openalex.org/A5000020193,https://openalex.org/A5032713702,1
https://openalex.org/A5000020193,https://openalex.org/A5054233433,1
https://openalex.org/A5000036051,https://openalex.org/A5004610882,1
https://openalex.org/A5000036051,https://openalex.org/A5077469072,2
https://openalex.org/A5000036560,https://openalex.org/A5073755365,1
https://openalex.org/A5000041628,https://openalex.org/A5059910313,1
https://openalex.org/A5000044009,https://openalex.org/A5037686662,2
https://openalex.org/A5000044009,https://openalex.org/A5056757265,1
https://openalex.org/A5000049353,https://openalex.org/A5062148431,1
https://openalex.org/A5000049853,https://openalex.org/A5082236281,1
https://openalex.org/A5000049853,https://openalex.org/A5084380466,2
https://openalex.org/A5000054279,https://openalex.org/A5000454665,14
https://openalex.org/A5000054279,https://openalex.org/A5011311455,1
https://openalex.org/A5000054279,https://openalex.org/A5014492331,2
https://openalex.org/A5000054279,https://openalex.org/A5037686662,2
https://openalex.org/A5000055728,https://openalex.org/A5077469072,1
https://openalex.org/A5000058532,https://openalex.org/A5009304576,4
https://openalex.org/A5000058532,https://openalex.org/A5056543059,3
https://openalex.org/A5000058532,https://openalex.org/A5066794724,2
https://openalex.org/A5000058532,https://openalex.org/A5083749002,2
https://openalex.org/A5000059507,https://openalex.org/A5030371142,1
https://openalex.org/A5000059507,https://openalex.org/A5030392494,1
https://openalex.org/A5000067446,https://openalex.org/A5015130752,1
https://openalex.org/A5000067446,https://openalex.org/A5061305146,6
https://openalex.org/A5000069135,https://openalex.org/A5059405170,1
https://openalex.org/A5000085676,https://openalex.org/A5014089604,1
https://openalex.org/A5000085676,https://openalex.org/A5017070147,1
https://openalex.org/A5000089664,https://openalex.org/A5008556553,1
https://openalex.org/A5000089664,https://openalex.org/A5055136164,1
https://openalex.org/A5000107456,https://openalex.org/A5052793518,1
https://openalex.org/A5000113212,https://openalex.org/A5032047875,1
https://openalex.org/A5000115766,https://openalex.org/A5071054435,1
https://openalex.org/A5000115830,https://openalex.org/A5073755365,1
https://openalex.org/A5000138959,https://openalex.org/A5088138569,2
https://openalex.org/A5000140226,https://openalex.org/A5018096139,5
https://openalex.org/A5000140988,https://openalex.org/A5003197298,1
https://openalex.org/A5000140988,https://openalex.org/A5006740441,2
https://openalex.org/A5000140988,https://openalex.org/A5007103259,3
https://openalex.org/A5000140988,https://openalex.org/A5007437495,1
https://openalex.org/A5000140988,https://openalex.org/A5009774154,7
https://openalex.org/A5000140988,https://openalex.org/A5012213238,1
https://openalex.org/A5000140988,https://openalex.org/A5012544519,4
https://openalex.org/A5000140988,https://openalex.org/A5017604670,2
https://openalex.org/A5000140988,https://openalex.org/A5021148584,4
https://openalex.org/A5000140988,https://openalex.org/A5023427422,1
https://openalex.org/A5000140988,https://openalex.org/A5024799899,1
https://openalex.org/A5000140988,https://openalex.org/A5025438727,3
https://openalex.org/A5000140988,https://openalex.org/A5025629823,1
https://openalex.org/A5000140988,https://openalex.org/A5025958918,1
https://openalex.org/A5000140988,https://openalex.org/A5028346453,1
https://openalex.org/A5000140988,https://openalex.org/A5028940559,2
