anchor_author_id,work_id,publication_year,doi,title,n_authors,cited_by_count,fwci
https://openalex.org/A5040090348,https://openalex.org/W2600115819,2017,https://doi.org/10.1016/j.indcrop.2017.03.009,Antibacterial and antioxidant activity of essential oils and extracts from costmary ( Tanacetum balsamita L.) and tansy ( Tanacetum vulgare L.),9,108,9.3256
https://openalex.org/A5040090348,https://openalex.org/W2070216367,2014,https://doi.org/10.1016/j.ifset.2014.03.006,Antimicrobial and antioxidant properties of pullulan film containing sweet basil extract and an evaluation of coating effectiveness in the prolongation of the shelf life of apples stored in refrigeration conditions,6,99,8.4116
https://openalex.org/A5040090348,https://openalex.org/W3129905854,2021,https://doi.org/10.3390/molecules26040988,Antioxidant and Antibacterial Activity of Essential Oils and Hydroethanolic Extracts of Greek Oregano (O. vulgare L. subsp. hirtum (Link) Ietswaart) and Common Oregano (O. vulgare L. subsp. vulgare),7,78,9.166
https://openalex.org/A5040090348,https://openalex.org/W2044122986,2014,https://doi.org/10.1016/j.postharvbio.2013.12.010,The use of pullulan coating enriched with plant extracts from Satureja hortensis L. to maintain pepper and apple quality and safety,6,70,2.582
https://openalex.org/A5040090348,https://openalex.org/W2946845807,2019,https://doi.org/10.3390/agronomy9060279,Sweet Basil (Ocimum basilicum L.) Productivity and Raw Material Quality from Organic Cultivation,5,66,5.8761
https://openalex.org/A5040090348,https://openalex.org/W4402993148,2024,https://doi.org/10.3390/molecules29194617,"Activity of Common Thyme (Thymus vulgaris L.), Greek Oregano (Origanum vulgare L. ssp. hirtum), and Common Oregano (Origanum vulgare L. ssp. vulgare) Essential Oils against Selected Phytopathogens",6,20,6.186
https://openalex.org/A5040090348,https://openalex.org/W2884887063,2018,https://doi.org/10.3390/molecules23071767,Antioxidant and Antibacterial Activity of Roseroot (Rhodiola rosea L.) Dry Extracts,10,73,2.0406
https://openalex.org/A5040090348,https://openalex.org/W2053744940,2013,https://doi.org/10.1016/j.foodcont.2013.09.049,The antimicrobial activity of pullulan film incorporated with meadowsweet flower extracts (Filipendulae ulmariae flos) on postharvest quality of apples,6,69,2.7566
https://openalex.org/A5040090348,https://openalex.org/W3102208710,2020,https://doi.org/10.3390/foods9111671,The Quality of Greek Oregano (O. vulgare L. subsp. hirtum (Link) Ietswaart) and Common Oregano (O. vulgare L. subsp. vulgare) Cultivated in the Temperate Climate of Central Europe,5,58,6.398
https://openalex.org/A5040090348,https://openalex.org/W2967252948,2019,https://doi.org/10.3390/molecules24162965,Growth Biocontrol of Foodborne Pathogens and Spoilage Microorganisms of Food by Polish Propolis Extracts,7,51,5.6624
https://openalex.org/A5040090348,https://openalex.org/W3037848661,2020,https://doi.org/10.3390/agronomy10060909,"Morphological and Chemical Traits as Quality Determinants of Common Thyme (Thymus vulgaris L.), on the Example of ‘Standard Winter’ Cultivar",6,41,3.6313
https://openalex.org/A5040090348,https://openalex.org/W4282829073,2022,https://doi.org/10.3390/ph15060735,Antioxidant and Antibacterial Activity of Helichrysum italicum (Roth) G. Don. from Central Europe,9,40,5.5163
https://openalex.org/A5040090348,https://openalex.org/W2462326061,2015,https://doi.org/10.1515/hepo-2015-0021,Intraspecific variability of yarrow (<i>Achillea millefolium</i> L. s.l.) in respect of developmental and chemical traits,7,35,0.897
https://openalex.org/A5040090348,https://openalex.org/W2964628007,2019,https://doi.org/10.1016/j.indcrop.2019.111562,Arbuscular mycorrhizal fungi in chamomile (Matricaria recutita L.) organic cultivation,5,35,5.5303
https://openalex.org/A5040090348,https://openalex.org/W2091927178,2014,https://doi.org/10.1016/j.fbp.2014.06.001,The application of pullulan coating enriched with extracts from Bergenia crassifolia to control the growth of food microorganisms and improve the quality of peppers and apples,6,34,2.8529
