profil,tytul,stanowisko,jednostka,wydzial,orcid,scopus_id,polon_id,researcharea,h_index_scopus,h_index_wos,sum_IF,sum_SNIP,sum_MEiN,n_pub,author_id,url,error
Jean Bernard Diatta,prof. dr hab.,,Katedra Chemii Rolnej i Biogeochemii Środowiska,"Wydział Rolnictwa, Ogrodnictwa i Biotechnologii",0000-0001-8487-7616,,0906d683-7b9f-42ab-80cb-5b634beaebe6,"rolnictwo i ogrodnictwo, inżynieria środowiska, górnictwo i energetyka",,,38.1,,1270.0,10,36152344-c22b-454a-81e4-6831f3592c91,https://sciencerep.up.poznan.pl/entities/person/36152344-c22b-454a-81e4-6831f3592c91,
Magdalena Rybus-Zając,dr hab.,,,,0000-0002-8750-7271,,3467c5f5-8457-4310-a0bc-87106dfecc13,rolnictwo i ogrodnictwo,,,3.7,,100.0,1,43b5dff2-c2d4-4c63-aa80-c2f7925e5870,https://sciencerep.up.poznan.pl/entities/person/43b5dff2-c2d4-4c63-aa80-c2f7925e5870,
Anna Dudzińska,dr,,,,0000-0003-0294-1915,,60add31a-aab8-43a7-9b49-2b55e1fcd45a,"rolnictwo i ogrodnictwo, inżynieria środowiska, górnictwo i energetyka",,,4.8,,280.0,3,e246b70a-93be-4a39-8707-35fa3307fa70,https://sciencerep.up.poznan.pl/entities/person/e246b70a-93be-4a39-8707-35fa3307fa70,
Dariusz Andrzej Świerk,dr hab.,,,,0000-0001-7700-8359,,7a84c765-1a71-4bf2-80c9-7d58f16a08b0,"inżynieria środowiska, górnictwo i energetyka, rolnictwo i ogrodnictwo",,,52.302,,1700.0,14,b6f27d8d-55f0-4f0f-bcc4-125ebfb562a1,https://sciencerep.up.poznan.pl/entities/person/b6f27d8d-55f0-4f0f-bcc4-125ebfb562a1,
Karolina Ratajczak,dr hab.,,,,0000-0002-4465-9697,,7c70747b-3261-4e21-9f37-3800b97b60be,rolnictwo i ogrodnictwo,,,39.3,,1420.0,16,ad982135-5e5a-49ac-86d0-5a666c1023cb,https://sciencerep.up.poznan.pl/entities/person/ad982135-5e5a-49ac-86d0-5a666c1023cb,
Jolanta Lisiecka,dr,,,,0000-0001-9263-7911,,1db2e01b-0836-4ef9-9721-2179d4f74ca9,rolnictwo i ogrodnictwo,,,13.100000000000001,,300.0,4,43a7751e-b07a-45d5-8acc-03d9270a148f,https://sciencerep.up.poznan.pl/entities/person/43a7751e-b07a-45d5-8acc-03d9270a148f,
Ewa Antonina Bretes,dr,,,,0000-0001-9218-385X,,ab1a6725-f783-4913-8331-e445af6df799,"rolnictwo i ogrodnictwo, biotechnologia, nauki biologiczne",,,11.8,,350.0,3,8086a6b6-8125-47c6-b14e-ac32562c73bd,https://sciencerep.up.poznan.pl/entities/person/8086a6b6-8125-47c6-b14e-ac32562c73bd,
Marek Aleksander Czerwiński,dr,,Katedra Łąkarstwa i Krajobrau Przyrodniczego,"Wydział Rolnictwa, Ogrodnictwa i Biotechnologii",0000-0001-8570-9307,,9767c5cf-34d5-47a0-b18e-639a715a543b,"rolnictwo i ogrodnictwo, inżynieria środowiska, górnictwo i energetyka",,,32.676,,910.0,8,84a5f9e6-fa6a-4989-baed-3675125b04bf,https://sciencerep.up.poznan.pl/entities/person/84a5f9e6-fa6a-4989-baed-3675125b04bf,
Przemysław Olejnik,mgr inż.,,,,,,7968d6d8-8c57-449e-aedc-0a6c75435c06,rolnictwo i ogrodnictwo,,,8.3,,240.0,3,82dca4b7-b758-4794-9280-0abd0d05464d,https://sciencerep.up.poznan.pl/entities/person/82dca4b7-b758-4794-9280-0abd0d05464d,
Renata Gaj,prof. dr hab.,,Katedra Chemii Rolnej i Biogeochemii Środowiska,"Wydział Rolnictwa, Ogrodnictwa i Biotechnologii",0000-0002-8531-7271,,0099a20d-c2b8-42c5-b38a-135c1a9a4118,"rolnictwo i ogrodnictwo, inżynieria środowiska, górnictwo i energetyka",,,27.5,,1790.0,50,12a7f910-9184-49e9-9c5b-bab47f24a757,https://sciencerep.up.poznan.pl/entities/person/12a7f910-9184-49e9-9c5b-bab47f24a757,
Joanna Grażyna Zyprych-Walczak,dr,,,,0000-0001-9465-3851,,5cc03903-80c7-4cb5-af58-336712e40b1a,"rolnictwo i ogrodnictwo, biotechnologia",,,36.300000000000004,,1290.0,11,a96d2343-ee65-450d-8ce2-355a51255d10,https://sciencerep.up.poznan.pl/entities/person/a96d2343-ee65-450d-8ce2-355a51255d10,
Iwona Mejza,prof. dr hab.,,,,0000-0003-1862-5095,,1d14858c-ad1a-4f68-99e3-699dc44e6cb3,rolnictwo i ogrodnictwo,,,,,20.0,1,d57650b5-f903-41cc-af19-35993c758994,https://sciencerep.up.poznan.pl/entities/person/d57650b5-f903-41cc-af19-35993c758994,
Bartosz Markiewicz,dr hab.,,,,0000-0002-0701-3336,,4dfb7059-aa77-4b05-bd40-189831f1dff7,rolnictwo i ogrodnictwo,,,5.8,,380.0,6,27b88242-ea51-40e5-be11-029db5c7aaf4,https://sciencerep.up.poznan.pl/entities/person/27b88242-ea51-40e5-be11-029db5c7aaf4,
Beata Janowska,dr hab.,,"Katedra Roślin Ozdobnych, Dendrologii i Sadownictwa","Wydział Rolnictwa, Ogrodnictwa i Biotechnologii",0000-0002-6871-9316,,4f7c8b6d-6544-4916-9386-d0d92ad00dc0,rolnictwo i ogrodnictwo,,,35.7,,1110.0,15,13774455-7d69-4b02-8ba6-7b085c988fb6,https://sciencerep.up.poznan.pl/entities/person/13774455-7d69-4b02-8ba6-7b085c988fb6,
Piotr Filip Gajewski,dr hab.,,,,0000-0001-6963-5934,,a83b3949-456b-411e-b1fe-e45c9c03f852,rolnictwo i ogrodnictwo,,,8.3,,420.0,5,6497c685-3779-467c-888e-33578283af86,https://sciencerep.up.poznan.pl/entities/person/6497c685-3779-467c-888e-33578283af86,
Alicja Szabelska-Beręsewicz,dr,,,,0000-0002-1806-0891,,713edef8-b2b1-4f25-9a42-76b8697d75c1,"rolnictwo i ogrodnictwo, biotechnologia",,,50.6,,1770.0,15,6a2f8857-003b-41ec-9112-0ef6941bfd06,https://sciencerep.up.poznan.pl/entities/person/6a2f8857-003b-41ec-9112-0ef6941bfd06,
