uczelnia,author_id,rok,n_pub,sum_pkt,capped
upwr,UPWr520c294c3cc94377af21b25c6390ae75,1992,1,0.0,False
upwr,UPWr520c294c3cc94377af21b25c6390ae75,1997,1,0.0,False
upwr,UPWr520c294c3cc94377af21b25c6390ae75,2004,2,12.0,False
upwr,UPWr520c294c3cc94377af21b25c6390ae75,2006,1,3.0,False
upwr,UPWr520c294c3cc94377af21b25c6390ae75,2007,3,18.0,False
upwr,UPWr520c294c3cc94377af21b25c6390ae75,2008,2,12.0,False
upwr,UPWr520c294c3cc94377af21b25c6390ae75,2009,5,24.0,False
upwr,UPWr520c294c3cc94377af21b25c6390ae75,2010,5,40.0,False
upwr,UPWr520c294c3cc94377af21b25c6390ae75,2011,3,28.0,False
upwr,UPWr520c294c3cc94377af21b25c6390ae75,2012,5,32.0,False
upwr,UPWr520c294c3cc94377af21b25c6390ae75,2013,12,99.0,False
upwr,UPWr520c294c3cc94377af21b25c6390ae75,2014,4,25.0,False
upwr,UPWr520c294c3cc94377af21b25c6390ae75,2015,7,5.0,False
upwr,UPWr520c294c3cc94377af21b25c6390ae75,2016,8,59.0,False
upwr,UPWr520c294c3cc94377af21b25c6390ae75,2017,4,20.0,False
upwr,UPWr520c294c3cc94377af21b25c6390ae75,2018,2,20.0,False
upwr,UPWr520c294c3cc94377af21b25c6390ae75,2019,5,80.0,False
upwr,UPWr520c294c3cc94377af21b25c6390ae75,2020,7,240.0,False
upwr,UPWr520c294c3cc94377af21b25c6390ae75,2021,8,585.0,False
upwr,UPWr520c294c3cc94377af21b25c6390ae75,2022,4,390.0,False
upwr,UPWr520c294c3cc94377af21b25c6390ae75,2023,4,0.0,False
upwr,UPWr520c294c3cc94377af21b25c6390ae75,2024,5,360.0,False
upwr,UPWr520c294c3cc94377af21b25c6390ae75,2025,9,205.0,False
upwr,UPWr520c294c3cc94377af21b25c6390ae75,2026,2,70.0,False
upwr,UPWrbd409b0eccde49beadf29785fa644366,2013,4,0.0,False
upwr,UPWrbd409b0eccde49beadf29785fa644366,2014,4,0.0,False
upwr,UPWrbd409b0eccde49beadf29785fa644366,2015,7,28.0,False
upwr,UPWrbd409b0eccde49beadf29785fa644366,2017,4,55.0,False
upwr,UPWrbd409b0eccde49beadf29785fa644366,2021,1,0.0,False
upwr,UPWrbd409b0eccde49beadf29785fa644366,2022,6,0.0,False
upwr,UPWrbd409b0eccde49beadf29785fa644366,2024,1,0.0,False
sggw,WULS712b02319ba341779b4be38450fdec6f,2006,48,,True
sggw,WULS712b02319ba341779b4be38450fdec6f,2007,64,,True
sggw,WULS712b02319ba341779b4be38450fdec6f,2008,47,,True
sggw,WULS712b02319ba341779b4be38450fdec6f,2013,34,,True
sggw,WULS712b02319ba341779b4be38450fdec6f,2014,76,,True
sggw,WULS712b02319ba341779b4be38450fdec6f,2015,70,,True
sggw,WULS712b02319ba341779b4be38450fdec6f,2016,66,,True
sggw,WULS712b02319ba341779b4be38450fdec6f,2017,72,,True
sggw,WULS712b02319ba341779b4be38450fdec6f,2018,40,,True
sggw,WULS712b02319ba341779b4be38450fdec6f,2019,18,,True
sggw,WULS712b02319ba341779b4be38450fdec6f,2020,30,,True
sggw,WULS712b02319ba341779b4be38450fdec6f,2021,40,,True
sggw,WULS712b02319ba341779b4be38450fdec6f,2022,34,,True
sggw,WULS712b02319ba341779b4be38450fdec6f,2023,31,,True
sggw,WULS712b02319ba341779b4be38450fdec6f,2024,33,,True
