profil,tytul,stanowisko,jednostka,wydzial,orcid,scopus_id,polon_id,researcharea,h_index_scopus,h_index_wos,sum_IF,sum_SNIP,sum_MEiN,n_pub,author_id,url,error
Arkadiusz Artyszak,dr hab. inż.,Profesor Uczelni,Katedra Agronomii,,0000-0002-0272-1536,,,,14.0,11.0,78.268,20.991,,759.0,WULS712b02319ba341779b4be38450fdec6f,https://bw.sggw.edu.pl/info/author/WULS712b02319ba341779b4be38450fdec6f?lang=pl&r=publication&tab=main,
Katarzyna Bączek,prof. dr hab. inż.,Profesor,Katedra Roślin Warzywnych i Leczniczych,,0000-0003-3061-6474,,,,19.0,19.0,127.802,33.069,,110.0,WULSb9bbf3d0103341a0bd49c93ac85c9a73,https://bw.sggw.edu.pl/info/author/WULSb9bbf3d0103341a0bd49c93ac85c9a73?lang=pl&r=publication&tab=main,
Jakub Bojanowski,mgr inż.,Asystent,Katedra Ochrony Środowiska i Dendrologii,,,,,,1.0,1.0,4.8,,,4.0,WULS9eeb7bd220a748d5bc748162f347f216,https://bw.sggw.edu.pl/info/author/WULS9eeb7bd220a748d5bc748162f347f216?lang=pl&r=publication&tab=main,
Kamila Bokszczanin,dr inż.,Adiunkt,Katedra Sadownictwa i Ekonomiki Ogrodnictwa,,0000-0003-1130-2904,,,,7.0,8.0,40.182,11.19,,45.0,WULSe61be6086beb4838b6d98cf098f8c0a0,https://bw.sggw.edu.pl/info/author/WULSe61be6086beb4838b6d98cf098f8c0a0?lang=pl&r=publication&tab=main,
Barbara Borawska-Jarmułowicz,dr hab. inż.,Adiunkt,Katedra Agronomii,,0000-0001-7092-6544,,,,7.0,9.0,46.534,14.619,,48.0,WULS3b28e4ce5d80454bb56d782c50925741,https://bw.sggw.edu.pl/info/author/WULS3b28e4ce5d80454bb56d782c50925741?lang=pl&r=publication&tab=main,
Anna Chodkiewicz,dr,Adiunkt,Katedra Agronomii,,0000-0003-3234-5049,,,,1.0,3.0,21.706,6.475,,20.0,WULS114728c9912c482f8d33f6139be9d5e8,https://bw.sggw.edu.pl/info/author/WULS114728c9912c482f8d33f6139be9d5e8?lang=pl&r=publication&tab=main,
Józef Chojnicki,prof. dr hab. inż.,Profesor,Katedra Gleboznawstwa,,0000-0001-7719-4331,,,,3.0,4.0,16.132,8.47,,59.0,WULS99149d605ca0450390183a97e96f9e23,https://bw.sggw.edu.pl/info/author/WULS99149d605ca0450390183a97e96f9e23?lang=pl&r=publication&tab=main,
Katarzyna Chwedorzewska,prof. dr hab.,Profesor,Katedra Botaniki i Fizjologii Roslin,,0000-0001-6860-3666,,,,24.0,22.0,123.031,51.304,,60.0,WULS03b11b15b3154ba29f37fa236b47c658,https://bw.sggw.edu.pl/info/author/WULS03b11b15b3154ba29f37fa236b47c658?lang=pl&r=publication&tab=main,
Magdalena Cieplak,dr,Adiunkt,"Katedra Genetyki, Hodowli i Biotechnologii Roślin",,0000-0001-8705-3065,,,,1.0,5.0,35.286,3.988,,10.0,WULS90e86c4576f349ffa1c8e65423e8642a,https://bw.sggw.edu.pl/info/author/WULS90e86c4576f349ffa1c8e65423e8642a?lang=pl&r=publication&tab=main,
Piotr Dąbrowski,prof. dr hab. inż.,Profesor,Katedra Kształtowania Środowiska i Teledetekcji,,0000-0002-2867-8839,,,,17.0,16.0,123.48,31.527,,72.0,WULSb247bd3204ca468a99c4a5b4af0f7e32,https://bw.sggw.edu.pl/info/author/WULSb247bd3204ca468a99c4a5b4af0f7e32?lang=pl&r=publication&tab=main,
