profil,tytul,stanowisko,jednostka,wydzial,orcid,scopus_id,polon_id,researcharea,h_index_scopus,h_index_wos,sum_IF,sum_SNIP,sum_MEiN,n_pub,author_id,url,error
Katarzyna Adamczewska-Sowińska,prof. dr hab. inż.,profesor,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,0000-0001-6020-3975,,,,13.0,11.0,67.491,27.994,2327.0,109.0,UPWr520c294c3cc94377af21b25c6390ae75,https://bazawiedzy.upwr.edu.pl/info/author/UPWr520c294c3cc94377af21b25c6390ae75?lang=pl&r=publication&tab=main,
Agnieszka Balbierz,dr inż.,starszy specjalista,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,0000-0003-2821-8557,,,,2.0,2.0,1.58,2.333,83.0,27.0,UPWrbd409b0eccde49beadf29785fa644366,https://bazawiedzy.upwr.edu.pl/info/author/UPWrbd409b0eccde49beadf29785fa644366?lang=pl&r=publication&tab=main,
Maria Barna,mgr inż.,specjalista,"Katedra Technologii Owoców, Warzyw i Nutraceutyków Roślinnych",Wydział Biotechnologii i Nauk o Żywności,,,,,,,,,,,UPWrdebf9fed64a149bf8783d376a176426d,https://bazawiedzy.upwr.edu.pl/info/author/UPWrdebf9fed64a149bf8783d376a176426d?lang=pl&r=publication&tab=main,
Przemysław Bąbelewski,prof. dr hab. inż.,profesor,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,0000-0002-6897-6662,,,,,,,,,,UPWr22ece9e18ed04a4885927cf07e3f7240,https://bazawiedzy.upwr.edu.pl/info/author/UPWr22ece9e18ed04a4885927cf07e3f7240?lang=pl&r=publication&tab=main,
Paulina Bączek,dr inż.,adiunkt,Katedra Ochrony Roślin,Wydział Przyrodniczo-Technologiczny,0009-0000-6880-3983,,,,3.0,3.0,31.111,9.725,1053.0,29.0,UPWrd1b58e9c682a414ea18e38b03cade374,https://bazawiedzy.upwr.edu.pl/info/author/UPWrd1b58e9c682a414ea18e38b03cade374?lang=pl&r=publication&tab=main,
Magdalena Bednik-Dudek,dr inż.,starszy technik,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0003-3209-9044,,,,9.0,10.0,68.681,20.65,1965.0,28.0,UPWr7dfe7130e578415eb652347e8fe96803,https://bazawiedzy.upwr.edu.pl/info/author/UPWr7dfe7130e578415eb652347e8fe96803?lang=pl&r=publication&tab=main,
Jakub Bekier,dr hab. inż.,profesor Uczelni,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0001-7793-8396,,,,10.0,10.0,68.201,25.574,2142.0,93.0,UPWr51b970e370f24b26aebc54dc5a9f7ed7,https://bazawiedzy.upwr.edu.pl/info/author/UPWr51b970e370f24b26aebc54dc5a9f7ed7?lang=pl&r=publication&tab=main,
Monika Białkowska,dr inż.,starszy specjalista,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0002-4254-1484,,,,4.0,4.0,11.2,3.578,524.0,38.0,UPWr7908e9b98bf648b5b371281313e71e47,https://bazawiedzy.upwr.edu.pl/info/author/UPWr7908e9b98bf648b5b371281313e71e47?lang=pl&r=publication&tab=main,
Anita Biesiada,prof. dr hab. inż.,profesor,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,0000-0003-2354-5276,,,,17.0,18.0,53.5,26.113,1710.0,228.0,UPWr49bb9cf6194e484e9840fabf523aeaa2,https://bazawiedzy.upwr.edu.pl/info/author/UPWr49bb9cf6194e484e9840fabf523aeaa2?lang=pl&r=publication&tab=main,
Adam Bogacz,prof. dr hab. inż.,profesor,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0001-5535-6934,,,,17.0,16.0,75.92,38.392,2601.0,162.0,UPWra51f1c132eb44e49a6d96e135b934e1a,https://bazawiedzy.upwr.edu.pl/info/author/UPWra51f1c132eb44e49a6d96e135b934e1a?lang=pl&r=publication&tab=main,
Marek Brennensthul,dr inż.,adiunkt,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0003-4964-482X,,,,5.0,5.0,31.826,12.629,1288.0,141.0,UPWr2728dfc28bfb4c3c9cff8836f288a691,https://bazawiedzy.upwr.edu.pl/info/author/UPWr2728dfc28bfb4c3c9cff8836f288a691?lang=pl&r=publication&tab=main,
Bogusława Bronowicka,mgr inż.,główny specjalista ds. farmy miejskiej,,,,,,,,,,,,,UPWr940bc09a9e394693afaa073cbd1628b2,https://bazawiedzy.upwr.edu.pl/info/author/UPWr940bc09a9e394693afaa073cbd1628b2?lang=pl&r=publication&tab=main,
Henryk Bujak,prof. dr hab. inż.,profesor,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa",Wydział Przyrodniczo-Technologiczny,0000-0001-8095-2105,,,,11.0,11.0,138.144,47.354,4557.0,150.0,UPWr98c2c47307cd4510b664bc0ccb1885e4,https://bazawiedzy.upwr.edu.pl/info/author/UPWr98c2c47307cd4510b664bc0ccb1885e4?lang=pl&r=publication&tab=main,
Marta Buzar,mgr inż.,specjalista,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa",Wydział Przyrodniczo-Technologiczny,,,,,,,,,18.0,9.0,UPWr3b6bd45ffbf1474c87d4008c87271ee5,https://bazawiedzy.upwr.edu.pl/info/author/UPWr3b6bd45ffbf1474c87d4008c87271ee5?lang=pl&r=publication&tab=main,
Piotr Chohura,dr inż.,adiunkt,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,0000-0003-1400-5702,,,,10.0,9.0,41.536,17.215,1542.0,388.0,UPWrdbf73eb453b74199a0a6f52ee3ab3c17,https://bazawiedzy.upwr.edu.pl/info/author/UPWrdbf73eb453b74199a0a6f52ee3ab3c17?lang=pl&r=publication&tab=main,
Beata Cieniawska,dr inż.,adiunkt,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0002-3469-5344,,,,4.0,4.0,25.66,11.326,1451.0,82.0,UPWr39843b9204a54d7b840ac55151f641df,https://bazawiedzy.upwr.edu.pl/info/author/UPWr39843b9204a54d7b840ac55151f641df?lang=pl&r=publication&tab=main,
Marta Czaplicka,dr inż.,adiunkt,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,0000-0001-6626-4568,,,,5.0,4.0,37.649,12.957,1636.0,179.0,UPWrc2174ef778514dcc870cec9024280790,https://bazawiedzy.upwr.edu.pl/info/author/UPWrc2174ef778514dcc870cec9024280790?lang=pl&r=publication&tab=main,
Jarosław Czarnecki,dr hab. inż.,profesor Uczelni,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0001-7086-1525,,,,5.0,5.0,22.726,10.751,1190.0,143.0,UPWrf8458a9fc38b44d29436c5fe2ed96758,https://bazawiedzy.upwr.edu.pl/info/author/UPWrf8458a9fc38b44d29436c5fe2ed96758?lang=pl&r=publication&tab=main,
Marta Czarniecka-Wiera,dr,adiunkt,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0003-3294-5853,,,,8.0,8.0,46.037,13.743,1507.0,20.0,UPWR07db76aee2144ba9a7c9508b896c6029,https://bazawiedzy.upwr.edu.pl/info/author/UPWR07db76aee2144ba9a7c9508b896c6029?lang=pl&r=publication&tab=main,
Tadeusz Czuj,mgr,specjalista,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa",Wydział Przyrodniczo-Technologiczny,0009-0006-5999-1998,,,,6.0,7.0,29.475,9.686,617.0,13.0,UPWr4bb71d26ca474f7f840ec7afcc8e5ae8,https://bazawiedzy.upwr.edu.pl/info/author/UPWr4bb71d26ca474f7f840ec7afcc8e5ae8?lang=pl&r=publication&tab=main,
Irmina Ćwieląg-Piasecka,dr hab.,profesor Uczelni,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0002-1439-0295,,,,14.0,14.0,151.32,39.394,3385.0,139.0,UPWr72fc2b157ebe44358b44ddc888b2480a,https://bazawiedzy.upwr.edu.pl/info/author/UPWr72fc2b157ebe44358b44ddc888b2480a?lang=pl&r=publication&tab=main,
Magdalena Dębicka,dr hab.,profesor Uczelni,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0003-4659-5380,,,,10.0,10.0,76.722,28.001,2205.0,115.0,UPWr5b283d1a26954ae689afa44ddb29b89b,https://bazawiedzy.upwr.edu.pl/info/author/UPWr5b283d1a26954ae689afa44ddb29b89b?lang=pl&r=publication&tab=main,
Agnieszka Dradrach,prof. dr hab. inż.,profesor,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0001-5406-9685,,,,11.0,11.0,84.42,31.22,2559.0,132.0,UPWr8f572debb4d74e9b8b1c5ea2adf10f0e,https://bazawiedzy.upwr.edu.pl/info/author/UPWr8f572debb4d74e9b8b1c5ea2adf10f0e?lang=pl&r=publication&tab=main,
Agnieszka Falkiewicz,mgr inż.,specjalista,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,,,,,2.0,2.0,11.2,3.51,300.0,6.0,UPWrf83e593d59be47489cc3433f1cb4eca2,https://bazawiedzy.upwr.edu.pl/info/author/UPWrf83e593d59be47489cc3433f1cb4eca2?lang=pl&r=publication&tab=main,
Adam Figiel,prof. dr hab. inż.,profesor,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0002-3443-1269,,,,40.0,38.0,321.521,129.018,7606.0,267.0,UPWree0b8b35b4de42a7927b86affce451ad,https://bazawiedzy.upwr.edu.pl/info/author/UPWree0b8b35b4de42a7927b86affce451ad?lang=pl&r=publication&tab=main,
Anna Fleszar,mgr inż.,starszy specjalista,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,,,,,1.0,1.0,3.3,1.083,100.0,2.0,UPWr3f6f2dfbf4b64044ac428018244c2c67,https://bazawiedzy.upwr.edu.pl/info/author/UPWr3f6f2dfbf4b64044ac428018244c2c67?lang=pl&r=publication&tab=main,
Renata Galek,dr hab. inż.,profesor Uczelni,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa",Wydział Przyrodniczo-Technologiczny,0000-0002-0102-1335,,,,10.0,10.0,95.229,30.731,2956.0,242.0,UPWr3d9aacd86ba84a49b0f8b6db7db6f258,https://bazawiedzy.upwr.edu.pl/info/author/UPWr3d9aacd86ba84a49b0f8b6db7db6f258?lang=pl&r=publication&tab=main,
Bernard Gałka,prof. dr hab. inż.,profesor,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0002-4555-9460,,,,19.0,17.0,161.576,63.054,4785.0,270.0,UPWr3c874d513c9d4cf5863acdb38a5ee98a,https://bazawiedzy.upwr.edu.pl/info/author/UPWr3c874d513c9d4cf5863acdb38a5ee98a?lang=pl&r=publication&tab=main,
Krzysztof Gediga,dr inż.,adiunkt,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0003-0797-4863,,,,9.0,9.0,36.684,14.138,1024.0,79.0,UPWrde796810c5be48438ebbfdc302e7fce3,https://bazawiedzy.upwr.edu.pl/info/author/UPWrde796810c5be48438ebbfdc302e7fce3?lang=pl&r=publication&tab=main,
Elżbieta Gębarowska,dr inż.,adiunkt,Katedra Ochrony Roślin,Wydział Przyrodniczo-Technologiczny,0000-0002-7856-9331,,,,9.0,8.0,66.008,21.555,2259.0,55.0,UPWrd2b4b174c0d74ab4b393ab5b226acc88,https://bazawiedzy.upwr.edu.pl/info/author/UPWrd2b4b174c0d74ab4b393ab5b226acc88?lang=pl&r=publication&tab=main,
Jolanta Górecka,mgr inż.,starszy specjalista kierujący zespołem,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa",Wydział Przyrodniczo-Technologiczny,,,,,,,,,,,UPWr7af1d3e443ba49f5a32fe52c270b20df,https://bazawiedzy.upwr.edu.pl/info/author/UPWr7af1d3e443ba49f5a32fe52c270b20df?lang=pl&r=publication&tab=main,
Iwona Gruss,dr hab.,profesor Uczelni,Katedra Ochrony Roślin,Wydział Przyrodniczo-Technologiczny,0000-0002-3562-5962,,,,9.0,9.0,123.295,43.318,3835.0,73.0,UPWr52de048f59f449d48f18e0f1e6eb8ce9,https://bazawiedzy.upwr.edu.pl/info/author/UPWr52de048f59f449d48f18e0f1e6eb8ce9?lang=pl&r=publication&tab=main,
Dariusz Gruszka,dr inż.,starszy technik,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,,,,,5.0,5.0,37.382,12.224,1080.0,27.0,UPWr33f5e9da9b794e24ab38ec9dd1fc2624,https://bazawiedzy.upwr.edu.pl/info/author/UPWr33f5e9da9b794e24ab38ec9dd1fc2624?lang=pl&r=publication&tab=main,
Ewelina Gudarowska,dr inż.,adiunkt,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,0000-0003-4494-7549,,,,4.0,4.0,8.866,5.882,827.0,681.0,UPWrb1fdadd98c544369be7577cf54847b3d,https://bazawiedzy.upwr.edu.pl/info/author/UPWrb1fdadd98c544369be7577cf54847b3d?lang=pl&r=publication&tab=main,
