profil,tytul,stanowisko,jednostka,wydzial,orcid,scopus_id,polon_id,researcharea,h_index_scopus,h_index_wos,sum_IF,sum_SNIP,sum_MEiN,n_pub,author_id,url,error
Adela Adamus,prof. dr hab. inż.,profesor,Katedra Biologii Roślin i Biotechnologii,Wydział Biotechnologii i Ogrodnictwa,0000-0003-1341-9524,,,,4.0,9.0,31.917,17.89,924.0,55.0,UR9797ee10b032453e97fb3c8ca3cf198a,https://repo.ur.krakow.pl/info/author/UR9797ee10b032453e97fb3c8ca3cf198a?lang=pl&r=publication&tab=main,
Magdalena Bacior,dr,adiunkt,Katedra Gleboznawstwa i Agrofizyki,Wydział Rolniczo-Ekonomiczny,0000-0003-4615-9458,,,,,6.0,24.713,10.428,840.0,15.0,UR420661b0ffb94198aedb10d157442408,https://repo.ur.krakow.pl/info/author/UR420661b0ffb94198aedb10d157442408?lang=pl&r=publication&tab=main,
Rafał Barański,prof. dr hab. inż.,profesor,Katedra Biologii Roślin i Biotechnologii,Wydział Biotechnologii i Ogrodnictwa,0000-0001-9276-3870,,,,14.0,18.0,153.858,44.603,3562.0,70.0,URc20a130ba25d4c6ebfc735894af9a85a,https://repo.ur.krakow.pl/info/author/URc20a130ba25d4c6ebfc735894af9a85a?lang=pl&r=publication&tab=main,
Renata Bączek-Kwinta,prof. dr hab. inż.,profesor,"Katedra Fizjologii, Hodowli Roślin i Nasiennictwa",Wydział Rolniczo-Ekonomiczny,0000-0002-9079-171X,,,,13.0,14.0,74.154,38.727,1943.0,94.0,URbbe27ff4a8e04600b4169d9d9b8a9cce,https://repo.ur.krakow.pl/info/author/URbbe27ff4a8e04600b4169d9d9b8a9cce?lang=pl&r=publication&tab=main,
"Monika Bienasz, prof. URK",dr hab. inż.,profesor uczelni,Katedra Ogrodnictwa,Wydział Biotechnologii i Ogrodnictwa,0000-0002-3275-6262,,,,6.0,10.0,87.213,38.217,3146.0,107.0,UR2d269aae2f154d9199eaa325b36bd07f,https://repo.ur.krakow.pl/info/author/UR2d269aae2f154d9199eaa325b36bd07f?lang=pl&r=publication&tab=main,
Jan Błaszczyk,dr hab. inż.,adiunkt,Katedra Ogrodnictwa,Wydział Biotechnologii i Ogrodnictwa,0000-0002-2975-6712,,,,6.0,7.0,25.327,16.096,1400.0,145.0,URe7719e6944cb44feb316726df7623f5b,https://repo.ur.krakow.pl/info/author/URe7719e6944cb44feb316726df7623f5b?lang=pl&r=publication&tab=main,
Elżbieta Boligłowa,prof. dr hab. inż.,Profesor,Katedra Mikrobiologii i Biomonitoringu,Wydział Rolniczo-Ekonomiczny,0000-0002-1882-9496,,,,3.0,7.0,43.04,15.744,1642.0,49.0,UR45b272a3c5874ceda8391a017b0f8d56,https://repo.ur.krakow.pl/info/author/UR45b272a3c5874ceda8391a017b0f8d56?lang=pl&r=publication&tab=main,
"Krzysztof Buksa, prof. URK",dr hab. inż.,profesor uczelni,Katedra Technologii Węglowodanów i Przetwórstwa Zbóż,Wydział Technologii Żywności,0000-0002-2509-5881,,,,8.0,20.0,146.153,55.869,4117.0,196.0,URd5f715833daf411bae0a140485699e28,https://repo.ur.krakow.pl/info/author/URd5f715833daf411bae0a140485699e28?lang=pl&r=publication&tab=main,
"Ewa Capecka, prof. URK",dr hab. inż.,profesor uczelni,Katedra Ogrodnictwa,Wydział Biotechnologii i Ogrodnictwa,0000-0003-1594-9828,,,,1.0,3.0,17.979,7.395,663.0,16.0,UR5571b1a932fb41efabcbcfa7945c6a22,https://repo.ur.krakow.pl/info/author/UR5571b1a932fb41efabcbcfa7945c6a22?lang=pl&r=publication&tab=main,
Pablo F. Cavagnaro,dr,profesor uczelni,Katedra Biologii Roślin i Biotechnologii,Wydział Biotechnologii i Ogrodnictwa,,,,,1.0,4.0,45.748,12.839,970.0,11.0,URK80437f56851f463c85e018e47a30298c,https://repo.ur.krakow.pl/info/author/URK80437f56851f463c85e018e47a30298c?lang=pl&r=publication&tab=main,
"Maria Jolanta Chmiel, prof. URK",dr hab. inż.,profesor uczelni,Katedra Mikrobiologii i Biomonitoringu,Wydział Rolniczo-Ekonomiczny,0000-0003-0075-6337,,,,7.0,7.0,57.384,18.491,1814.0,54.0,UR619b5729a15d4148b2e3fda26cdd9f78,https://repo.ur.krakow.pl/info/author/UR619b5729a15d4148b2e3fda26cdd9f78?lang=pl&r=publication&tab=main,
Maciej Chowaniak,dr inż.,adiunkt,Katedra Agroekologii i Produkcji Roślinnej,Wydział Rolniczo-Ekonomiczny,0000-0002-3154-3126,,,,4.0,9.0,38.167,16.322,1604.0,46.0,UR752b82534365454f8855db9eee1b3679,https://repo.ur.krakow.pl/info/author/UR752b82534365454f8855db9eee1b3679?lang=pl&r=publication&tab=main,
Alicja Chuda,dr inż.,adiunkt naukowo-dydaktyczny,Katedra Biologii Roślin i Biotechnologii,Wydział Biotechnologii i Ogrodnictwa,,,,,1.0,1.0,0.625,1.045,35.0,5.0,UR113d9f0ed4b04f96a312caa4430c91f8,https://repo.ur.krakow.pl/info/author/UR113d9f0ed4b04f96a312caa4430c91f8?lang=pl&r=publication&tab=main,
Monika Cioć,dr inż.,adiunkt,Katedra Roślin Ozdobnych i Sztuki Ogrodowej,Wydział Biotechnologii i Ogrodnictwa,0000-0003-0325-5706,,,,4.0,8.0,37.894,14.021,1145.0,38.0,URb50d5444a99a453d97e17d90c8ce2936,https://repo.ur.krakow.pl/info/author/URb50d5444a99a453d97e17d90c8ce2936?lang=pl&r=publication&tab=main,
Monika Czaja,dr inż.,adiunkt,Katedra Roślin Ozdobnych i Sztuki Ogrodowej,Wydział Biotechnologii i Ogrodnictwa,0000-0002-6428-5346,,,,,3.0,23.616,7.778,801.0,24.0,UR9a0f55cc5f804def8497fb24df0b5dbf,https://repo.ur.krakow.pl/info/author/UR9a0f55cc5f804def8497fb24df0b5dbf?lang=pl&r=publication&tab=main,
