profil,tytul,stanowisko,jednostka,wydzial,orcid,scopus_id,polon_id,researcharea,h_index_scopus,h_index_wos,sum_IF,sum_SNIP,sum_MEiN,n_pub,author_id,url,error
Małgorzata Baćmaga,dr hab. inż.,Profesor uczelni,Katedra Gleboznawstwa i Mikrobiologii,Wydział Rolnictwa i Leśnictwa,0000-0003-3322-1304,,,,16.0,17.0,134.097,,3195.0,59.0,UWMe017b52198884173bcc22e0ac51ce1f6,https://bazawiedzy.uwm.edu.pl/info/author/UWMe017b52198884173bcc22e0ac51ce1f6?lang=pl&r=publication&tab=main,
Agnieszka Bęś,dr inż.,Adiunkt,Katedra Chemii,Wydział Rolnictwa i Leśnictwa,0000-0003-3649-4252,,,,11.0,14.0,113.518,,3574.0,60.0,UWMabb279b52a144d1f8d8e7cc84b95604a,https://bazawiedzy.uwm.edu.pl/info/author/UWMabb279b52a144d1f8d8e7cc84b95604a?lang=pl&r=publication&tab=main,
Ernest Bielinis,dr inż.,Adiunkt,Katedra Leśnictwa i Ekologii Lasu,Wydział Rolnictwa i Leśnictwa,0000-0002-6384-4898,,,,17.0,16.0,70.753,,2434.0,38.0,UWM4e86a97f210648b698bca7ebea812be7,https://bazawiedzy.uwm.edu.pl/info/author/UWM4e86a97f210648b698bca7ebea812be7?lang=pl&r=publication&tab=main,
Stanisław Bielski,dr hab. inż.,Profesor uczelni,Katedra Agrotechnologii i Agrobiznesu,Wydział Rolnictwa i Leśnictwa,0000-0003-3602-3549,,,,9.0,10.0,74.759,,3590.0,70.0,UWMaf5a38a0ce2d4265b96047d23f9a25bd,https://bazawiedzy.uwm.edu.pl/info/author/UWMaf5a38a0ce2d4265b96047d23f9a25bd?lang=pl&r=publication&tab=main,
Anna Adriana Bieniek,dr hab. inż.,Profesor uczelni,Katedra Agroekosystemów i Ogrodnictwa,Wydział Rolnictwa i Leśnictwa,0000-0002-5903-1405,,,,8.0,9.0,51.473,,1615.0,82.0,UWM1a314e46800e40ad8cb3905ba6db8541,https://bazawiedzy.uwm.edu.pl/info/author/UWM1a314e46800e40ad8cb3905ba6db8541?lang=pl&r=publication&tab=main,
Bożena Bernarda Bogucka,dr hab.,Profesor uczelni,Katedra Agrotechnologii i Agrobiznesu,Wydział Rolnictwa i Leśnictwa,0000-0003-2267-0892,,,,8.0,9.0,47.726,,1973.0,60.0,UWMb7616f7933404d57af43a27964caf67c,https://bazawiedzy.uwm.edu.pl/info/author/UWMb7616f7933404d57af43a27964caf67c?lang=pl&r=publication&tab=main,
Jakub Stoigniew Borkowski,dr hab. inż.,Profesor uczelni,Katedra Leśnictwa i Ekologii Lasu,Wydział Rolnictwa i Leśnictwa,0000-0002-4466-2693,,,,9.0,9.0,50.951,,1783.0,20.0,UWM17a934957586469bb67b043288d8cb9a,https://bazawiedzy.uwm.edu.pl/info/author/UWM17a934957586469bb67b043288d8cb9a?lang=pl&r=publication&tab=main,
Edyta Boros-Lajszner,dr inż.,Adiunkt,Katedra Gleboznawstwa i Mikrobiologii,Wydział Rolnictwa i Leśnictwa,0000-0002-1867-5335,,,,9.0,12.0,54.328,,1948.0,29.0,UWM75e5c1461ee24e32a951befea25b391a,https://bazawiedzy.uwm.edu.pl/info/author/UWM75e5c1461ee24e32a951befea25b391a?lang=pl&r=publication&tab=main,
Agata Izabela Borowik,dr hab.,Profesor uczelni,Katedra Gleboznawstwa i Mikrobiologii,Wydział Rolnictwa i Leśnictwa,0000-0002-8512-7363,,,,19.0,23.0,229.661,,7270.0,99.0,UWMca00d86455fd45b99aa31ac86dd336fb,https://bazawiedzy.uwm.edu.pl/info/author/UWMca00d86455fd45b99aa31ac86dd336fb?lang=pl&r=publication&tab=main,
Katarzyna Halina Brodzińska,dr hab. inż.,Adiunkt,Katedra Agrotechnologii i Agrobiznesu,Wydział Rolnictwa i Leśnictwa,0000-0003-1329-2391,,,,3.0,4.0,7.171,,1302.0,60.0,UWMce50e5746d1641aebda9c050a2e8cc58,https://bazawiedzy.uwm.edu.pl/info/author/UWMce50e5746d1641aebda9c050a2e8cc58?lang=pl&r=publication&tab=main,
