"profil","stanowisko","jednostka","wydzial","h_index_scopus","h_index_wos","sum_IF","sum_SNIP","sum_MEiN"
"Katarzyna Adamczewska-Sowińska","profesor","Katedra Ogrodnictwa","Wydział Przyrodniczo-Technologiczny",13,11,67.491,27.994,2327
"Agnieszka Balbierz",NA,"Katedra Ogrodnictwa","Wydział Przyrodniczo-Technologiczny",2,2,1.58,2.333,83
"Przemysław Bąbelewski","profesor","Katedra Ogrodnictwa","Wydział Przyrodniczo-Technologiczny",9,9,104.754,39.697,3747
"Paulina Bączek","adiunkt","Katedra Ochrony Roślin","Wydział Przyrodniczo-Technologiczny",3,3,31.111,9.725,1053
"Magdalena Bednik-Dudek",NA,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",9,9,68.681,20.65,1965
"Jakub Bekier","profesor uczelni","Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",10,10,68.201,25.574,2132
"Monika Białkowska",NA,"Instytut Agroekologii i Produkcji Roślinnej","Wydział Przyrodniczo-Technologiczny",4,3,11.2,3.578,524
"Anita Biesiada","profesor","Katedra Ogrodnictwa","Wydział Przyrodniczo-Technologiczny",17,17,53.5,25.807,1710
"Adam Bogacz","profesor","Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",16,16,72.92,37.525,2491
"Marek Brennensthul","adiunkt","Instytut Inżynierii Rolniczej","Wydział Przyrodniczo-Technologiczny",5,5,31.826,12.629,1288
"Henryk Bujak","profesor","Katedra Genetyki, Hodowli Roślin i Nasiennictwa","Wydział Przyrodniczo-Technologiczny",11,11,138.144,47.354,4557
"Marta Buzar",NA,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa","Wydział Przyrodniczo-Technologiczny",NA,NA,18,18,18
"Piotr Chohura","adiunkt","Katedra Ogrodnictwa","Wydział Przyrodniczo-Technologiczny",10,9,41.536,17.215,1536
"Beata Cieniawska","adiunkt","Instytut Inżynierii Rolniczej","Wydział Przyrodniczo-Technologiczny",4,4,25.66,9.788,1351
"Marta Czaplicka","adiunkt","Katedra Ogrodnictwa","Wydział Przyrodniczo-Technologiczny",4,4,37.649,12.957,1636
"Jarosław Czarnecki","profesor uczelni","Instytut Inżynierii Rolniczej","Wydział Przyrodniczo-Technologiczny",5,5,22.726,10.751,1190
"Marta Czarniecka-Wiera","adiunkt","Instytut Agroekologii i Produkcji Roślinnej","Wydział Przyrodniczo-Technologiczny",8,8,46.037,13.743,1507
"Tadeusz Czuj",NA,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa","Wydział Przyrodniczo-Technologiczny",6,7,29.475,9.686,617
"Irmina Ćwieląg-Piasecka","profesor uczelni","Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",14,13,133.72,39.394,3375
"Magdalena Dębicka","profesor uczelni","Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",10,10,76.722,28.001,2195
"Agnieszka Dradrach","profesor","Instytut Agroekologii i Produkcji Roślinnej","Wydział Przyrodniczo-Technologiczny",11,11,79.72,29.586,2389
"Agnieszka Falkiewicz",NA,"Instytut Agroekologii i Produkcji Roślinnej","Wydział Przyrodniczo-Technologiczny",2,2,7.2,2.267,200
"Adam Figiel","profesor","Instytut Inżynierii Rolniczej","Wydział Przyrodniczo-Technologiczny",40,37,314.321,126.816,7516
"Anna Fleszar",NA,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",1,1,3.3,1.083,100
"Renata Galek","profesor uczelni","Katedra Genetyki, Hodowli Roślin i Nasiennictwa","Wydział Przyrodniczo-Technologiczny",10,9,95.229,30.731,2957
"Bernard Gałka","profesor","Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",19,17,157.176,61.908,4605
"Krzysztof Gediga","adiunkt","Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",9,9,35.702,12.974,969
"Elżbieta Gębarowska","adiunkt","Katedra Ochrony Roślin","Wydział Przyrodniczo-Technologiczny",9,7,54.308,18.685,1879
"Jolanta Górecka",NA,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa","Wydział Przyrodniczo-Technologiczny",NA,NA,NA,NA,NA
"Iwona Gruss","profesor uczelni","Katedra Ochrony Roślin","Wydział Przyrodniczo-Technologiczny",9,9,119.995,42.436,3760
"Dariusz Gruszka",NA,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",4,5,37.382,12.224,1080
"Ewelina Gudarowska","adiunkt","Katedra Ogrodnictwa","Wydział Przyrodniczo-Technologiczny",4,4,8.866,5.882,827
"Aleksandra Halarewicz","profesor","Katedra Botaniki i Ekologii Roślin","Wydział Przyrodniczo-Technologiczny",8,8,42.6,19.45,1386
"Waldemar Helios","profesor uczelni","Instytut Agroekologii i Produkcji Roślinnej","Wydział Przyrodniczo-Technologiczny",7,7,51.575,17.869,1924
"Anna Jama-Rodzeńska","profesor uczelni","Instytut Agroekologii i Produkcji Roślinnej","Wydział Przyrodniczo-Technologiczny",11,10,118.612,39.672,3958
"Elżbieta Jamroz","profesor","Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",14,13,122.427,45.626,3789
"Anita Jandy",NA,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",1,1,3.8,1.175,140
"Janina Jaworska",NA,"Katedra Ogrodnictwa","Wydział Przyrodniczo-Technologiczny",1,1,3.6,1.1,100
"Paweł Jezierski","adiunkt","Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",11,12,36.766,19.021,1187
"Szymon Jędrzejewski",NA,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",2,2,18.4,5.535,540
"Marta Jurga-Zotow","adiunkt","Katedra Ochrony Roślin","Wydział Przyrodniczo-Technologiczny",4,3,14.318,5.826,685
"Monika Jurzak",NA,"Katedra Ogrodnictwa","Wydział Przyrodniczo-Technologiczny",NA,NA,2.5,0.956,100
