"profil","author_id","rok","n_publikacji","n_punktowane","suma_pkt","capped"
"Adam Bogacz","UPWra51f1c132eb44e49a6d96e135b934e1a",1996,1,0,0,FALSE
"Adam Bogacz","UPWra51f1c132eb44e49a6d96e135b934e1a",1998,1,0,0,FALSE
"Adam Bogacz","UPWra51f1c132eb44e49a6d96e135b934e1a",2000,2,2,6,FALSE
"Adam Bogacz","UPWra51f1c132eb44e49a6d96e135b934e1a",2002,1,0,0,FALSE
"Adam Bogacz","UPWra51f1c132eb44e49a6d96e135b934e1a",2003,1,0,0,FALSE
"Adam Bogacz","UPWra51f1c132eb44e49a6d96e135b934e1a",2004,3,1,5,FALSE
"Adam Bogacz","UPWra51f1c132eb44e49a6d96e135b934e1a",2005,1,1,12,FALSE
"Adam Bogacz","UPWra51f1c132eb44e49a6d96e135b934e1a",2006,2,0,0,FALSE
"Adam Bogacz","UPWra51f1c132eb44e49a6d96e135b934e1a",2007,9,1,6,FALSE
"Adam Bogacz","UPWra51f1c132eb44e49a6d96e135b934e1a",2008,5,3,18,FALSE
"Adam Bogacz","UPWra51f1c132eb44e49a6d96e135b934e1a",2009,2,1,6,FALSE
"Adam Bogacz","UPWra51f1c132eb44e49a6d96e135b934e1a",2010,8,5,22,FALSE
"Adam Bogacz","UPWra51f1c132eb44e49a6d96e135b934e1a",2011,16,9,55,FALSE
"Adam Bogacz","UPWra51f1c132eb44e49a6d96e135b934e1a",2012,7,7,34,FALSE
"Adam Bogacz","UPWra51f1c132eb44e49a6d96e135b934e1a",2013,11,8,81,FALSE
"Adam Bogacz","UPWra51f1c132eb44e49a6d96e135b934e1a",2014,11,8,156,FALSE
"Adam Bogacz","UPWra51f1c132eb44e49a6d96e135b934e1a",2015,18,2,60,FALSE
"Adam Bogacz","UPWra51f1c132eb44e49a6d96e135b934e1a",2016,13,9,114,FALSE
"Adam Bogacz","UPWra51f1c132eb44e49a6d96e135b934e1a",2017,8,4,76,FALSE
"Adam Bogacz","UPWra51f1c132eb44e49a6d96e135b934e1a",2018,5,4,60,FALSE
"Adam Bogacz","UPWra51f1c132eb44e49a6d96e135b934e1a",2019,12,3,370,FALSE
"Adam Bogacz","UPWra51f1c132eb44e49a6d96e135b934e1a",2020,2,2,200,FALSE
"Adam Bogacz","UPWra51f1c132eb44e49a6d96e135b934e1a",2021,3,3,340,FALSE
"Adam Bogacz","UPWra51f1c132eb44e49a6d96e135b934e1a",2022,5,2,240,FALSE
